show_id,type,title,director,cast,country,date_added,release_year,duration,listed_in,description,year_added,month_added,day_added,is_movie,cleaned_description,rating_G,rating_PG,rating_PG-13,rating_TV-14,rating_TV-G,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV
s1,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",Unknown,2021-09-24,2021,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,2021.0,9.0,24.0,1,two pixar filmmaker strive bring uniquely personal sparkshorts vision screen,False,False,False,False,False,True,False,False,False
s2,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada",2021-09-24,2011,93 min,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,2021.0,9.0,24.0,1,puppy go spooky adventure mysterious haunted mansion flick,True,False,False,False,False,False,False,False,False
s3,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,2021-09-24,2014,127 min,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,2021.0,9.0,24.0,1,hazel gu share love sweep unforgettable journey,False,False,True,False,False,False,False,False,False
s4,TV Show,Dog: Impossible,Unknown,Matt Beisner,United States,2021-09-22,2019,2 Seasons,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,2021.0,9.0,22.0,0,matt beisner us unique approach modifying canine behavior focus animal need,False,False,False,False,False,True,False,False,False
s5,TV Show,Spidey And His Amazing Friends,Unknown,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,2021-09-22,2021,1 Season,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,2021.0,9.0,22.0,0,spidey team pal become spidey team,False,False,False,False,False,False,True,False,False
s6,TV Show,Star Wars: Visions,Unknown,Unknown,Unknown,2021-09-22,2021,1 Season,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,2021.0,9.0,22.0,0,animated anthology celebrating star war lens world best anime creator,False,False,False,False,False,True,False,False,False
s7,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,2021-09-17,2009,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,2021.0,9.0,17.0,1,becky writes personal finance column en route mag job,False,True,False,False,False,False,False,False,False
s8,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",Unknown,2021-09-17,2021,22 min,"Animation, Fantasy, Musical",Mal and Ben’s wedding is finally here!,2021.0,9.0,17.0,1,mal ben wedding finally,False,False,False,False,True,False,False,False,False
s9,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",Unknown,2021-09-17,2016,116 min,Concert Film,Experience the magic of Disney on Broadway in an unforgettable night of music.,2021.0,9.0,17.0,1,experience magic disney broadway unforgettable night music,False,False,False,False,True,False,False,False,False
s10,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,Unknown,2021-09-17,2021,44 min,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,2021.0,9.0,17.0,1,archaeologist dive pyramid flooded nile search king burial,False,False,False,False,False,True,False,False,False
s11,Movie,Jade Eyed Leopard,Unknown,Jeremy Irons,Unknown,2021-09-17,2020,44 min,"Animals & Nature, Documentary","Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",2021.0,9.0,17.0,1,jade eyed leopard follows leopard toto throughout first three year life,False,False,False,False,False,True,False,False,False
s12,Movie,Nona,Louis Gonzales,Unknown,Unknown,2021-09-17,2021,9 min,"Animation, Comedy, Family",A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,2021.0,9.0,17.0,1,grandmother plan day alone upended unexpected visit granddaughter,True,False,False,False,False,False,False,False,False
s13,Movie,Smoky Mountain Park Rangers,Unknown,Peter Jessop,Unknown,2021-09-17,2021,42 min,Documentary,Park Rangers protect the wildlife in Great Smoky Mountain National Park.,2021.0,9.0,17.0,1,park ranger protect wildlife great smoky mountain national park,False,False,False,False,False,True,False,False,False
s14,TV Show,Life Below Zero,Unknown,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",United States,2021-09-15,2012,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze.",2021.0,9.0,15.0,0,experience life deep alaska primal way life brave wild fight freeze,False,False,False,True,False,False,False,False,False
s15,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,Unknown,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen","France, South Korea, Japan, United States",2021-09-15,2015,1 Season,"Action-Adventure, Animation, Fantasy",Superheroes Ladybug and Cat Noir protect the city.,2021.0,9.0,15.0,0,superheroes ladybug cat noir protect city,False,False,False,False,False,False,False,True,False
s16,TV Show,Ready for Preschool,Unknown,Unknown,Unknown,2021-09-15,2019,1 Season,"Kids, Music",The love of learning begins with Disney Junior!,2021.0,9.0,15.0,0,love learning begin disney junior,False,False,False,False,False,False,True,False,False
s17,TV Show,Unknown Waters with Jeremy Wade,Unknown,Jeremy Wade,Unknown,2021-09-15,2021,1 Season,"Animals & Nature, Docuseries","Angler and adventurer, Jeremy Wade, explores the greatest river system in the world.",2021.0,9.0,15.0,0,angler adventurer jeremy wade explores greatest river system world,False,False,False,True,False,False,False,False,False
s18,Movie,Far Away From Raven’s Home,Unknown,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",Unknown,2021-09-10,2021,11 min,Comedy,Our gang is off for an exotic vacation of a lifetime!,2021.0,9.0,10.0,1,gang exotic vacation lifetime,False,False,False,False,True,False,False,False,False
s19,Movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin","United States, United Kingdom",2021-09-10,2011,140 min,"Action-Adventure, Fantasy",A woman from his past uses Jack to help find the fabled Fountain of Youth.,2021.0,9.0,10.0,1,woman past us jack help find fabled fountain youth,False,False,True,False,False,False,False,False,False
